"","doc_id","sentence_id","entity","entity_type"
"114","text100",2,"China","GPE"
"115","text100",2,"just_a_decade","DATE"
"116","text100",2,"the_last_few_weeks","DATE"
"117","text100",4,"British","NORP"
"118","text100",4,"China","GPE"
"119","text100",4,"just_a_decade","DATE"
"120","text100",4,"the_last_few_weeks","DATE"
"121","text100",5,"British","NORP"
"122","text100",5,"China","GPE"
"123","text100",5,"just_a_decade","DATE"
"124","text100",5,"the_last_few_weeks","DATE"
"125","text100",6,"Hong_Kong","GPE"
"126","text100",6,"Hu_Yaobang","PERSON"
"127","text100",6,"Communist_Party","ORG"
"128","text100",6,"last_Friday","DATE"
"129","text100",7,"Hong_Kong","GPE"
"130","text100",7,"Martin_Lee","PERSON"
"131","text100",8,"Britain","GPE"
"132","text100",8,"Hong_Kong","GPE"
"133","text100",9,"Lee","PERSON"
"134","text100",9,"Chinese","NORP"
"135","text100",9,"Shanghai","GPE"
"136","text100",9,"Shenzhen","GPE"
"137","text100",13,"Monday","DATE"
"138","text100",13,"Tuesday","DATE"
"139","text100",13,"morning","TIME"
"140","text100",13,"Hu","PERSON"
"141","text100",14,"China","GPE"
"142","text100",14,"Hong_Kong","GPE"
"143","text100",14,"Xu_Jiatun","PERSON"
"144","text100",14,"Tuesday","DATE"
"145","text100",14,"China","GPE"
"146","text100",15,"82","CARDINAL"
"147","text100",15,"Monday","DATE"
"148","text100",15,"an_additional_83","CARDINAL"
"149","text100",15,"Tuesday","DATE"
"150","text100",15,"morning","TIME"
"151","text100",15,"70","CARDINAL"
"152","text100",15,"Tuesday","DATE"
"153","text100",15,"afternoon","TIME"
"154","text100",16,"Wednesday","DATE"
"155","text100",16,"84","CARDINAL"
"156","text100",16,"one_-_day","DATE"
"157","text100",16,"five_years","DATE"
"158","text100",17,"Today","DATE"
"159","text100",17,"3","CARDINAL"
"160","text100",20,"one","CARDINAL"
"161","text100",20,"Hong_Kong_'s","GPE"
"162","text100",20,"Beijing","GPE"
"163","text100",21,"one_-_day","DATE"
"164","text100",21,"seven_-_day","DATE"
"165","text100",22,"Peter_B._Harris","PERSON"
"166","text100",22,"the_University_of_Hong_Kong","ORG"
"167","text100",22,"Beijing","GPE"
"168","text100",24,"Harris","PERSON"
"169","text100",28,"Hong_Kong","GPE"
"170","text100",28,"China","GPE"
"171","text100",28,"the_Chinese_New_Year","EVENT"
"172","text100",29,"the_Chinese_New_Year","EVENT"
"173","text100",30,"the_New_Year","EVENT"
"174","text100",30,"Peter_Choi","PERSON"
"175","text100",33,"The_Chinese_Year","EVENT"
"176","text100",33,"Jan._29","DATE"
"177","text100",33,"the_Year_of_the_Tiger","EVENT"
"178","text100",34,"month","DATE"
"179","text100",34,"the_New_Year","EVENT"
"180","text100",35,"Last_year","DATE"
"181","text100",35,"the_month","DATE"
"182","text100",35,"the_New_Year","EVENT"
"183","text100",35,"the_month","DATE"
"184","text100",37,"Terry_R._Coombs","PERSON"
"185","text100",40,"Locksmiths_Are_Busy","WORK"
"186","text100",41,"the_New_Year","EVENT"
"187","text100",42,"Hong_Kong","GPE"
"188","text100",42,"New_Yorker","ORG"
"189","text100",43,"one","CARDINAL"
"190","text100",43,"three","CARDINAL"
"191","text100",44,"The_Royal_Hong_Kong_Police_Force","ORG"
"192","text100",46,"Hong_Kong","GPE"
"193","text100",52,"Hong_Kong","GPE"
"194","text100",52,"David_Wilson","PERSON"
"195","text100",52,"British","NORP"
"196","text100",53,"David","PERSON"
"197","text100",53,"China","GPE"
"198","text100",53,"Edward_Youde","PERSON"
"199","text100",53,"six_weeks_ago","DATE"
"200","text100",53,"Beijing","GPE"
"201","text100",54,"Queen","PERSON"
"202","text100",54,"Hong_Kong","GPE"
"203","text100",55,"David","PERSON"
"204","text100",55,"Prince_Charles","PERSON"
"205","text100",55,"British","NORP"
"206","text100",56,"David","PERSON"
"207","text100",56,"Hong_Kong","GPE"
"208","text100",56,"Chinese","NORP"
"209","text100",56,"Mandarin","LANGUAGE"
"210","text100",56,"Chinese","NORP"
"211","text100",57,"Cantonese","LANGUAGE"
"212","text100",57,"Hong_Kong","GPE"
"213","text100",57,"first","ORDINAL"
"214","text100",57,"Cantonese","NORP"
"215","text100",57,"Chinese_New_Year","EVENT"
"216","text100",58,"David","PERSON"
"217","text100",58,"1997","DATE"
"218","text100",58,"Britain","GPE"
"219","text100",58,"Hong_Kong","GPE"
"220","text100",58,"China","GPE"
"221","text100",59,"Britain","GPE"
"222","text100",59,"Hong_Kong","GPE"
"223","text100",59,"Chinese","NORP"
"224","text100",59,"the_last_few_years","DATE"
"225","text100",59,"British","NORP"
"226","text100",60,"David","PERSON"
"227","text100",62,"HONG_KONG_JOURNAL","ORG"
"228","text11",2,"one","CARDINAL"
"229","text11",2,"third","ORDINAL"
"230","text11",2,"months","DATE"
"231","text11",2,"Koch","PERSON"
"232","text11",5,"Pat","PERSON"
"233","text11",9,"one","CARDINAL"
"234","text11",9,"third","ORDINAL"
"235","text11",9,"months","DATE"
"236","text11",9,"Koch","PERSON"
"237","text11",12,"Pat","PERSON"
"238","text11",15,"one","CARDINAL"
"239","text11",15,"third","ORDINAL"
"240","text11",15,"months","DATE"
"241","text11",15,"Koch","PERSON"
"242","text11",18,"Pat","PERSON"
"243","text11",23,"Koch","PERSON"
"244","text11",26,"Ed_Koch","PERSON"
"245","text11",32,"The_Mayor","WORK"
"246","text11",35,"the_last_12_months","DATE"
"247","text11",35,"that_1986","DATE"
"248","text11",35,"Ed_Koch","PERSON"
"249","text11",36,"a_year","DATE"
"250","text11",36,"78_percent","PERCENT"
"251","text11",36,"the_year_before","DATE"
"252","text11",36,"fourth","ORDINAL"
"253","text11",36,"1989","DATE"
"254","text11",37,"Koch","PERSON"
"255","text11",38,"1977","DATE"
"256","text11",39,"eight_years","DATE"
"257","text11",39,"four_years","DATE"
"258","text11",40,"Koch","PERSON"
"259","text11",40,"more_than_20","CARDINAL"
"260","text11",40,"the_year","DATE"
"261","text11",42,"City_Hall","FAC"
"262","text11",42,"Koch","PERSON"
"263","text11",45,"Brooklyn_Borough","GPE"
"264","text11",45,"Howard_Golden","PERSON"
"265","text11",47,"Koch","PERSON"
"266","text11",47,"Edward_N._Costikyan","PERSON"
"267","text11",47,"Behind_Closed_Doors","WORK"
"268","text11",50,"this_era","DATE"
"269","text11",54,"January","DATE"
"270","text11",54,"Soviet","NORP"
"271","text11",55,"Fourth_of_July","DATE"
"272","text11",55,"second","ORDINAL"
"273","text11",55,"'_'_Politics_._'_'","WORK"
"274","text11",56,"the_end_of_the_year","DATE"
"275","text11",56,"Koch","PERSON"
"276","text11",56,"Howard_Beach","GPE"
"277","text11",57,"Koch","PERSON"
"278","text11",58,"1977","DATE"
"279","text11",59,"Board_of_Education","ORG"
"280","text11",59,"Robert_F._Wagner_Jr.","PERSON"
"281","text11",63,"Koch","PERSON"
"282","text11",67,"Koch","PERSON"
"283","text11",67,"first","ORDINAL"
"284","text11",69,"Democratic","NORP"
"285","text11",70,"fourth","ORDINAL"
"286","text11",70,"Democratic","NORP"
"287","text11",70,"Robert_F._Wagner","PERSON"
"288","text11",70,"third","ORDINAL"
"289","text11",70,"1961","DATE"
"290","text11",71,"Koch","PERSON"
"291","text11",74,"the_Board_of_Estimate","ORG"
"292","text11",75,"City_Council","ORG"
"293","text11",75,"a_year_ago","DATE"
"294","text11",78,"the_second_year","DATE"
"295","text11",78,"third","ORDINAL"
"296","text11",78,"City_Council","ORG"
"297","text11",78,"Andrew_J._Stein","PERSON"
"298","text11",78,"Koch","PERSON"
"299","text12",2,"ONE_year_ago_this_Friday","DATE"
"300","text12",2,"Donald_R._Manes","PERSON"
"301","text12",2,"Queens_Borough_Hall","FAC"
"302","text12",2,"New_York","GPE"
"303","text12",4,"ONE_year_ago_this_Friday","DATE"
"304","text12",4,"Donald_R._Manes","PERSON"
"305","text12",4,"Queens_Borough_Hall","FAC"
"306","text12",4,"New_York","GPE"
"307","text12",5,"ONE_year_ago_this_Friday","DATE"
"308","text12",5,"Donald_R._Manes","PERSON"
"309","text12",5,"Queens_Borough_Hall","FAC"
"310","text12",5,"New_York","GPE"
"311","text12",6,"Manes","PERSON"
"312","text12",6,"the_evening_of_Jan._9","TIME"
"313","text12",6,"the_night","TIME"
"314","text12",7,"Nine_hours_later","TIME"
"315","text12",7,"Shea_Stadium","FAC"
"316","text12",9,"the_Federal_Bureau_of_Investigation","ORG"
"317","text12",10,"New_Yorkers","NORP"
"318","text12",14,"New_York_City","GPE"
"319","text12",14,"1861","DATE"
"320","text12",14,"P.T._Barnum","ORG"
"321","text12",15,"Boss_Tweed_'s","PERSON"
"322","text12",15,"1870","DATE"
"323","text12",15,"Koch","PERSON"
"324","text12",15,"New_York","GPE"
"325","text12",15,"Fiorello_H._La_Guardia","PERSON"
"326","text12",16,"this_past_year","DATE"
"327","text12",16,"New_York_'s","GPE"
"328","text12",18,"THE_'_MARKETPLACE_'","LAW"
"329","text12",18,"Jan._9","DATE"
"330","text12",18,"11","CARDINAL"
"331","text12",19,"the_Health_and_Hospitals_Corporation","ORG"
"332","text12",20,"At_least_nine","CARDINAL"
"333","text12",21,"Fourteen","CARDINAL"
"334","text12",21,"two","CARDINAL"
"335","text12",22,"one","CARDINAL"
"336","text12",23,"Oriental","NORP"
"337","text12",26,"Alex_Liberman","PERSON"
"338","text12",26,"Brooklyn_Democratic","ORG"
"339","text12",26,"1984","DATE"
"340","text12",26,"more_than_$_1_million","MONEY"
"341","text12",28,"1982","DATE"
"342","text12",28,"James_Rose","PERSON"
"343","text12",28,"the_Parking_Violations_Bureau","ORG"
"344","text12",29,"the_Inspector_General_of_the_Transportation_Department","ORG"
"345","text12",29,"the_Department_of_Investigation","ORG"
"346","text12",31,"1984","DATE"
"347","text12",31,"James_Smith","PERSON"
"348","text12",31,"Brooklyn","GPE"
"349","text12",31,"weekly","DATE"
"350","text12",31,"Koch","PERSON"
"351","text12",31,"City_Club","ORG"
"352","text12",31,"Stanley_M._Friedman","PERSON"
"353","text12",31,"Bronx","GPE"
"354","text12",31,"Democratic","NORP"
"355","text12",32,"Citisource","ORG"
"356","text12",32,"Friedman","PERSON"
"357","text12",33,"Koch","PERSON"
"358","text12",33,"Smith","PERSON"
"359","text12",34,"1985","DATE"
"360","text12",34,"William_C._Brennan","PERSON"
"361","text12",34,"Queens_Supreme_Court","ORG"
"362","text12",34,"Queens","GPE"
"363","text12",35,"1969","DATE"
"364","text12",35,"Francis_X._Smith","PERSON"
"365","text12",37,"New_Yorkers","NORP"
"366","text12",38,"Chicago","GPE"
"367","text12",39,"New_York","GPE"
"368","text12",39,"New_York","GPE"
"369","text12",39,"Bernard_Sandow","PERSON"
"370","text12",39,"Chicago","GPE"
"371","text12",41,"Brooklyn","GPE"
"372","text12",41,"57_years_ago","DATE"
"373","text12",41,"Michael_Raymond","PERSON"
"374","text12",41,"the_last_few_years","DATE"
"375","text12",41,"Michael_Burnett","PERSON"
"376","text12",42,"the_end_of_1983","DATE"
"377","text12",42,"New_York_City","GPE"
"378","text12",42,"Systematic_Recovery_Services","ORG"
"379","text12",42,"Sandow","PERSON"
"380","text12",43,"Sandow","PERSON"
"381","text12",43,"Chicago","GPE"
"382","text12",43,"New_York","GPE"
"383","text12",44,"Burnett","PERSON"
"384","text12",44,"Sandow","PERSON"
"385","text12",44,"Burnett","PERSON"
"386","text12",44,"Chicago","GPE"
"387","text12",44,"Gold_Coast","LOC"
"388","text12",44,"Burnett","PERSON"
"389","text12",44,"Chicago","GPE"
"390","text12",44,"Sandow","PERSON"
"391","text12",45,"Nov._26_,_1985","DATE"
"392","text12",45,"Burnett","PERSON"
"393","text12",45,"Hisae_'s_Restaurant","FAC"
"394","text12",45,"Cooper_Union","ORG"
"395","text12",45,"the_East_Village","LOC"
"396","text12",46,"Sandow","PERSON"
"397","text12",46,"Geoffrey_G._Lindenauer","PERSON"
"398","text12",46,"New_York_City_'s","GPE"
"399","text12",46,"Parking_Violations_Bureau","ORG"
"400","text12",49,"the_Parking_Violations_Bureau","ORG"
"401","text12",49,"Lester_N._Shafran","PERSON"
"402","text12",50,"one","CARDINAL"
"403","text12",50,"Sandow","PERSON"
"404","text12",50,"Lindenauer","PERSON"
"405","text12",50,"5,000","MONEY"
"406","text12",51,"a_month_later","DATE"
"407","text12",51,"Sandow","PERSON"
"408","text12",52,"Sandow","PERSON"
"409","text12",52,"Burnett","PERSON"
"410","text12",52,"F.B.I.","ORG"
"411","text12",52,"Lindenauer","PERSON"
"412","text12",53,"Parking_Violations_Bureau","ORG"
"413","text12",54,"P.V.B.","ORG"
"414","text12",54,"up_to_40_percent","PERCENT"
"415","text12",54,"the_millions_of_dollars","MONEY"
"416","text12",56,"Manes","PERSON"
"417","text12",56,"Queens","GPE"
"418","text12",56,"Democratic","NORP"
"419","text12",56,"fourth","ORDINAL"
"420","text12",56,"two_days","DATE"
"421","text12",56,"first","ORDINAL"
"422","text12",57,"Koch","PERSON"
"423","text12",57,"Manes","PERSON"
"424","text12",58,"March_13","DATE"
"425","text12",58,"Manes","PERSON"
"426","text12",60,"Friedman","PERSON"
"427","text12",60,"Bronx","GPE"
"428","text12",60,"Democratic","NORP"
"429","text12",60,"Koch","PERSON"
"430","text12",60,"Abraham_D._Beame","PERSON"
"431","text12",61,"Friedman","PERSON"
"432","text12",61,"City_Hall","ORG"
"433","text12",63,"Citisource","ORG"
"434","text12",64,"Friedman","PERSON"
"435","text12",64,"Friedman","PERSON"
"436","text12",64,"P.V.B.","ORG"
"437","text12",65,"November","DATE"
"438","text12",65,"Manes","PERSON"
"439","text12",65,"Citisource","ORG"
"440","text12",65,"Datacom","ORG"
"441","text12",66,"Michael_J._Lazar","PERSON"
"442","text12",66,"City_Councilman","ORG"
"443","text12",66,"the_Taxi_and_Limousine_Commission","ORG"
"444","text12",66,"Transportation_Administrator","ORG"
"445","text12",66,"Beame","PERSON"
"446","text12",67,"Datacom","ORG"
"447","text12",68,"Datacom","ORG"
"448","text12",69,"Shafran","PERSON"
"449","text12",69,"Lazar","PERSON"
"450","text12",69,"P.V.B.","ORG"
"451","text12",69,"Koch","PERSON"
"452","text12",69,"1978","DATE"
"453","text12",70,"Shafran","PERSON"
"454","text12",71,"Marvin_B._Kaplan","PERSON"
"455","text12",71,"Citisource","ORG"
"456","text12",71,"Citisource","ORG"
"457","text12",71,"Friedman","PERSON"
"458","text12",71,"Manes","PERSON"
"459","text12",71,"Lindenauer","PERSON"
"460","text12",72,"Lindenauer","PERSON"
"461","text12",72,"P.V.B.","ORG"
"462","text12",72,"Manes","PERSON"
"463","text12",73,"Lindenauer","PERSON"
"464","text12",73,"some_$_400,000","MONEY"
"465","text12",73,"Manes","PERSON"
"466","text12",74,"Citisource","ORG"
"467","text12",75,"Federal_Court","ORG"
"468","text12",75,"November","DATE"
"469","text12",75,"Friedman","PERSON"
"470","text12",75,"Lazar","PERSON"
"471","text12",75,"Shafran","GPE"
"472","text12",75,"Kaplan","GPE"
"473","text12",76,"Lindenauer","PERSON"
"474","text12",77,"Manes","PERSON"
"475","text12",77,"Richard_L._Rubin","PERSON"
"476","text12",77,"Manes","PERSON"
"477","text12",77,"Democratic","NORP"
"478","text12",78,"two","CARDINAL"
"479","text12",78,"Queens_Assemblymen","ORG"
"480","text12",79,"Anthony_R._Ameruso","PERSON"
"481","text12",79,"Beame","WORK"
"482","text12",79,"Transportation","ORG"
"483","text12",79,"Koch","PERSON"
"484","text12",79,"1978","DATE"
"485","text12",79,"Brooklyn","GPE"
"486","text12",80,"Ameruso","PERSON"
"487","text12",82,"John_A._Zaccaro","PERSON"
"488","text12",82,"Geraldine_Ferraro","PERSON"
"489","text12",83,"Manes","PERSON"
"490","text12",84,"Smith","PERSON"
"491","text12",84,"Zaccaro","PERSON"
"492","text12",84,"Michael_Nussbaum","PERSON"
"493","text12",84,"Manes","PERSON"
"494","text12",84,"Manes","PERSON"
"495","text12",86,"Jay_L._Turoff","PERSON"
"496","text12",86,"the_Taxi_and_Limousine_Commission","ORG"
"497","text12",86,"the_next_to_last_day","DATE"
"498","text12",86,"Beame","PERSON"
"499","text12",86,"Koch","PERSON"
"500","text12",87,"March","DATE"
"501","text12",87,"June","DATE"
"502","text12",87,"30,000","MONEY"
"503","text12",88,"Turoff","PERSON"
"504","text12",88,"Electronic_Compumeter","WORK"
"505","text12",88,"Brooklyn","GPE"
"506","text12",88,"Hyfin","GPE"
"507","text12",88,"Need","GPE"
"508","text12",89,"Three","CARDINAL"
"509","text12",89,"Turoff","PERSON"
"510","text12",89,"next_month","DATE"
"511","text12",90,"Brooklyn_Supreme_Court","ORG"
"512","text12",90,"Jerome_Cohen","PERSON"
"513","text12",90,"Hyfin","ORG"
"514","text12",91,"Hyfin","ORG"
"515","text12",91,"Edmund_Lee","PERSON"
"516","text12",91,"two","CARDINAL"
"517","text12",92,"John_J._McLaughlin","PERSON"
"518","text12",92,"the_Health_and_Hospitals_Corporation","ORG"
"519","text12",92,"August_1985","DATE"
"520","text12",93,"later_that_year","DATE"
"521","text12",94,"Last_April","DATE"
"522","text12",96,"six_months","DATE"
"523","text12",97,"TO_COME","ORG"
"524","text12",99,"Bronx","GPE"
"525","text12",99,"The_United_States","GPE"
"526","text12",99,"Manhattan","GPE"
"527","text12",99,"Rudolph_W._Giuliani","PERSON"
"528","text12",99,"Bronx","GPE"
"529","text12",99,"Mario_Merola","PERSON"
"530","text12",100,"Bronx","GPE"
"531","text12",100,"Stanley_Simon","PERSON"
"532","text12",100,"Bronx","GPE"
"533","text12",101,"Friedman","PERSON"
"534","text12",101,"Bronx","GPE"
"535","text12",102,"Manhattan","GPE"
"536","text12",102,"Robert_M._Morgenthau","PERSON"
"537","text12",102,"Giuliani","PERSON"
"538","text12",102,"Merola","PERSON"
"539","text12",102,"Wedtech","ORG"
"540","text12",102,"Bronx","GPE"
"541","text12",103,"Brooklyn","GPE"
"542","text12",103,"The_Brooklyn_District","LOC"
"543","text12",103,"Elizabeth_Holtzman","PERSON"
"544","text12",103,"millions_of_dollars","MONEY"
"545","text12",103,"Board_of_Education","ORG"
"546","text12",104,"Federal_Government","ORG"
"547","text12",104,"Brooklyn","GPE"
"548","text12",104,"Meade_H._Esposito","PERSON"
"549","text12",104,"Carl_A._Capasso","PERSON"
"550","text12",104,"Koch","PERSON"
"551","text13",2,"Cuomo","PERSON"
"552","text13",2,"last_Tuesday","DATE"
"553","text13",2,"evening","TIME"
"554","text13",2,"New_York_City","GPE"
"555","text13",2,"Assembly","ORG"
"556","text13",2,"Stanley_Fink","PERSON"
"557","text13",4,"Cuomo","PERSON"
"558","text13",4,"last_Tuesday","DATE"
"559","text13",4,"evening","TIME"
"560","text13",4,"New_York_City","GPE"
"561","text13",4,"Assembly","ORG"
"562","text13",4,"Stanley_Fink","PERSON"
"563","text13",5,"Cuomo","PERSON"
"564","text13",5,"last_Tuesday","DATE"
"565","text13",5,"evening","TIME"
"566","text13",5,"New_York_City","GPE"
"567","text13",5,"Assembly","ORG"
"568","text13",5,"Stanley_Fink","PERSON"
"569","text13",9,"Albany","GPE"
"570","text13",9,"Fink","PERSON"
"571","text13",9,"last_week","DATE"
"572","text13",9,"19_years","DATE"
"573","text13",9,"Legislature","ORG"
"574","text13",9,"8","CARDINAL"
"575","text13",11,"Fink","PERSON"
"576","text13",11,"Brooklyn","GPE"
"577","text13",11,"Democrat","NORP"
"578","text13",11,"Cuomo","PERSON"
"579","text13",12,"Jeffrey_Schmalz","PERSON"
"580","text13",12,"Albany","GPE"
"581","text13",12,"The_Times","ORG"
"582","text13",12,"Albany","GPE"
"583","text13",13,"the_last_couple_of_years","DATE"
"584","text13",14,"Assembly","ORG"
"585","text13",16,"New_York_State","GPE"
"586","text13",16,"a_number_of_years","DATE"
"587","text13",18,"Legislature","ORG"
"588","text13",19,"New_York_State","GPE"
"589","text13",21,"the_last_8_or_10_years","DATE"
"590","text13",22,"Assembly","ORG"
"591","text13",22,"Fink","PERSON"
"592","text13",22,"Assembly","ORG"
"593","text13",22,"the_day","DATE"
"594","text13",26,"Hugh_L._Carey","PERSON"
"595","text13",26,"Fink","PERSON"
"596","text13",31,"Cuomo","PERSON"
"597","text13",32,"Cuomo","PERSON"
"598","text13",32,"the_last_few_years","DATE"
"599","text13",33,"Cuomo","PERSON"
"600","text13",33,"Legislature","ORG"
"601","text13",33,"one","CARDINAL"
"602","text13",33,"two","CARDINAL"
"603","text13",34,"Legislature","ORG"
"604","text13",35,"Mario_Cuomo","PERSON"
"605","text13",35,"Carey","PERSON"
"606","text13",39,"the_years","DATE"
"607","text13",40,"20_years_ago","DATE"
"608","text13",41,"Twenty_years_ago","DATE"
"609","text13",44,"Fink","PERSON"
"610","text13",50,"the_last_few_years","DATE"
"611","text13",52,"one","CARDINAL"
"612","text13",52,"each_night","TIME"
"613","text13",52,"each_night","TIME"
"614","text13",55,"the_Federal_Government","ORG"
"615","text14",2,"THE_coming_year","DATE"
"616","text14",2,"one","CARDINAL"
"617","text14",2,"New_Jersey_'s","GPE"
"618","text14",4,"THE_coming_year","DATE"
"619","text14",4,"one","CARDINAL"
"620","text14",4,"New_Jersey_'s","GPE"
"621","text14",5,"THE_coming_year","DATE"
"622","text14",5,"one","CARDINAL"
"623","text14",5,"New_Jersey_'s","GPE"
"624","text14",6,"the_last_few_years","DATE"
"625","text14",7,"the_New_Jersey_Supreme_Court_'s","ORG"
"626","text14",7,"Mount_Laurel","LOC"
"627","text14",8,"New_Jersey","GPE"
"628","text14",8,"one","CARDINAL"
"629","text14",8,"567","CARDINAL"
"630","text14",9,"New_Jersey","GPE"
"631","text14",9,"the_old_day","DATE"
"632","text14",9,"Kean","PERSON"
"633","text14",10,"New_Jersey_'s","GPE"
"634","text14",14,"hours","TIME"
"635","text14",14,"U.S.","GPE"
"636","text14",14,"New_Brunswick","GPE"
"637","text14",14,"Princeton","GPE"
"638","text14",15,"Kean","PERSON"
"639","text14",15,"Legislature","ORG"
"640","text14",15,"three","CARDINAL"
"641","text14",15,"Transplan","GPE"
"642","text14",21,"Hazel_Frank_Gluck","PERSON"
"643","text14",21,"the_Senate_Transportation_Committee","ORG"
"644","text14",27,"Gluck","PERSON"
"645","text14",30,"Gluck","PERSON"
"646","text14",31,"Iowa","GPE"
"647","text14",31,"New_Jersey","GPE"
"648","text14",32,"U.S.","GPE"
"649","text14",32,"hours","TIME"
"650","text15",2,"second","ORDINAL"
"651","text15",2,"New_York_'s","GPE"
"652","text15",2,"Mario_Cuomo","PERSON"
"653","text15",2,"New_York","GPE"
"654","text15",2,"the_United_States","GPE"
"655","text15",4,"second","ORDINAL"
"656","text15",4,"New_York_'s","GPE"
"657","text15",4,"Mario_Cuomo","PERSON"
"658","text15",4,"New_York","GPE"
"659","text15",4,"the_United_States","GPE"
"660","text15",5,"second","ORDINAL"
"661","text15",5,"New_York_'s","GPE"
"662","text15",5,"Mario_Cuomo","PERSON"
"663","text15",5,"New_York","GPE"
"664","text15",5,"the_United_States","GPE"
"665","text15",6,"New_York","GPE"
"666","text15",8,"Franklin_Delano_Roosevelt","PERSON"
"667","text15",8,"New_York","GPE"
