"";"rownames.mat."
"106";"Edmund_Lee"
"107";"Elizabeth_Holtzman"
"108";"Fiorello_H._La_Guardia"
"109";"Francis_X._Smith"
"110";"Friedman"
"111";"Geoffrey_G._Lindenauer"
"112";"Geraldine_Ferraro"
"113";"Giuliani"
"114";"James_Rose"
"115";"James_Smith"
"116";"Jay_L._Turoff"
"117";"Jerome_Cohen"
"118";"John_A._Zaccaro"
"119";"John_J._McLaughlin"
"120";"Lazar"
"121";"Lester_N._Shafran"
"122";"Lindenauer"
"123";"Manes"
"124";"Mario_Merola"
"125";"Marvin_B._Kaplan"
"126";"Meade_H._Esposito"
"127";"Merola"
"128";"Michael_Burnett"
"129";"Michael_J._Lazar"
"130";"Michael_Nussbaum"
"131";"Michael_Raymond"
"132";"Richard_L._Rubin"
"133";"Robert_M._Morgenthau"
"134";"Rudolph_W._Giuliani"
"135";"Sandow"
"136";"Shafran"
"137";"Smith"
"138";"Stanley_M._Friedman"
"139";"Stanley_Simon"
"140";"Turoff"
"141";"William_C._Brennan"
"142";"Zaccaro"
"143";"Carey"
"144";"Fink"
"145";"Jeffrey_Schmalz"
"146";"Mario_Cuomo"
"147";"Gluck"
"148";"Hazel_Frank_Gluck"
"149";"Kean"
"150";"Franklin_Delano_Roosevelt"
"151";"Jimmy_Carter"
"152";"Rescuing_Roosevelt"
"153";"Ronald_Reagan"
"154";"Roosevelt"
"155";"Corona"
"156";"Samuel_Seabury"
"157";"Aquino"
"158";"Benigno"
"159";"C._Aquino"
"160";"Corazon_C._Aquino"
"161";"Enrile"
"162";"Ferdinand_E._Marcos"
"163";"Juan_Ponce_Enrile"
"164";"Legaspi"
"165";"Marcos"
"166";"pro_-_Marcos"
"167";"Teodoro_Benigno"
"168";"Guo_Jichuan"
"169";"Claire_Shulman"
"170";"Comptroller_Harrison_J._Goldin"
"171";"Dith_Pran"
"172";"Donald_R._Claire_Shulman"
"173";"Donald_R._LEAD"
"174";"Melvin"
"175";"Shulman"
"176";"Claire"
"177";"Ellen_Baker"
"178";"Kenneth"
"179";"Kim"
"180";"Lawrence_Shulman"
"181";"Antonio_Zumel"
"182";"Marcos_Attacks_Aquino"
"183";"Solarz"
"184";"Stephen_J._Solarz"
"185";"Zumel"
"186";"Bob_Hawke"
"187";"Christopher_Puplick"
"188";"Hawke"
"189";"Keating"
"190";"Mockridge"
"191";"Paul_Keating"
"192";"Tom_Mockridge"
"193";"Treasurer"
"194";"William_G._Hayden"
"195";"Heiner_Geissler"
"196";"Johannes_Rau"
"197";"Alfonse_M._D'Amato_'s"
"198";"Bolan"
"199";"Days_Stanley_Friedman"
"200";"Farrell"
"201";"George_Friedman"
"202";"George_Friedman_'s"
"203";"Golden"
"204";"Herman_D._Farrell"
"205";"LaPorte"
"206";"Lawrence_J._Kirwan"
"207";"Manton"
"208";"Nicholas_LaPorte_Sr_."
"209";"Reaching_Out"
"210";"Roy_Cohn"
"211";"Stanley_Friedman_'s"
"212";"Thomas_J._Manton"
"213";"Thomas_K._Bolan"
"214";"Diokno"
"215";"Guingona"
"216";"Jose_Diokno"
"217";"Misuari"
"218";"Nur_Misuari"
"219";"Saturnino_Ocampo"
"220";"Teofisto_Guingona"
"221";"Frederick_A._O._Schwarz_Jr._-"
"222";"Rifkind"
"223";"Schwarz"
"224";"Simon_H._Rifkind"
"225";"Geoffrey_Lindenauer"
"226";"Lester_Shafran"
"227";"Ross_Sandler"
"228";"Sandler"
"229";"Schwartz"
"230";"William_J._Schwartz"
"231";"Leon_Mebiane"
"232";"Omar_Bongo"
"233";"Anderson"
"234";"Arthur_J._Kremer"
"235";"D._Rappleyea"
"236";"Flatbush"
"237";"John_R._Dunne"
"238";"Kremer"
"239";"Manfred_Ohrenstein"
"240";"Mel"
"241";"Mel_Miller"
"242";"Miller"
"243";"Norman_Adler"
"244";"Saul_Weprin"
"245";"Weprin"
"246";"Arthur_Eve"
"247";"Bob_Abrams"
"248";"Cuomo_'s"
"249";"Doug_White"
"250";"Frank_White"
"251";"Jose_Rivera"
"252";"Ned_Regan"
"253";"Richard_Kessel"
"254";"Roger_Green"
"255";"Shoreham"
"256";"Warren"
"257";"Warren_Anderson"
"258";"Giant"
"259";"Peter_F._Vallone"
"260";"Vallone"
"261";"Amiram_Nir"
"262";"Benjamin_F._Weir"
"263";"Bush"
"264";"Dave_Durenberger"
"265";"Durenberger"
"266";"Fitzwater"
"267";"Marlin_M._Fitzwater"
"268";"Shimon_Peres"
"269";"Graubard"
"270";"Jacqueline"
"271";"Paul_M._Foti"
"272";"Robin_Graubard"
"273";"Whitman_Knapp"
"274";"Barry_M._Fallick"
"275";"Edward_M._Rappaport"
"276";"Irwin_Rochman"
"277";"Jay_L._Turoff_-_The"
"278";"Lester_N._Shafran_-_The"
"279";"Louis_I._Albert"
"280";"Michael_J._Lazar_-"
"281";"Scott_Francis"
"282";"Stanley_M._Friedman_-_a"
"283";"Botnick"
"284";"Frederick_A._O._Schwarz_Jr."
"285";"Kieves"
"286";"Lawrence_Kieves"
"287";"McGinley"
"288";"Patrick_W._McGinley"
"289";"Peg_Breen"
"290";"Victor_E._Botnick"
"291";"Comptroller"
"292";"Davis"
"293";"Gordon_J._Davis"
"294";"Hart"
"295";"Jenny_Damers"
"296";"Paul_Shklanko"
"297";"Peter_D._Hart"
"298";"Shklanko"
"299";"John_J._Santucci"
"300";"John_Sabini"
"301";"Marvyn_Kornberg"
"302";"Sabini"
"303";"Sam_Samuels"
"304";"Alan_G._Hevesi"
"305";"Carl_Carlucci"
"306";"Frank_Mauro"
"307";"G._Oliver_Koppell"
"308";"Hevesi"
"309";"Koppell"
"310";"Richard_N._Gottfried"
"311";"Sheldon_Silver"
"312";"Silver"
"313";"Stanley_Steingut"
"314";"Steven_Sanders"
"315";"Barre"
"316";"Chirac"
"317";"Gilles_Noizet"
"318";"Henri_Krasucki"
"319";"Jacques_Chirac"
"320";"Jacques_Toubon"
"321";"Raymond_Barre"
"322";"Toubon"
"323";"Bess_Myerson"
"324";"Brezenoff"
"325";"Capasso"
"326";"Frederick_P._Hafetz"
"327";"Herbert_P._Rickman"
"328";"Hortense_Gabel"
"329";"Mulhearn"
"330";"Myerson"
"331";"Nancy"
"332";"Nancy_Capasso"
"333";"Patrick_F._X._Mulhearn"
"334";"Raoul_Felder"
"335";"Rickman"
"336";"Stanley_Brezenoff"
"337";"Hafetz"
"338";"Fang"
"339";"Fang_Lizhi"
"340";"Guan"
"341";"Guan_Weiyan"
"342";"Hu"
"343";"Hu_Yaobang"
"344";"Zhou_Guangzhao"
"345";"Franz"
"346";"Franz_Josef_Strauss"
"347";"Genscher"
"348";"Hans_-_Dietrich_Genscher"
"349";"Helmut_Kohl_'s"
"350";"Hitler"
"351";"Strauss"
"352";"Carl_Capasso"
"353";"John_Poindexter"
"354";"Oliver_North"
"355";"Bess_Myerson_'s"
"356";"Connelly"
"357";"David_Garth"
"358";"Garth"
"359";"Harry_S._Truman"
"360";"John_V._Lindsay_'s"
"361";"Lindsay"
"362";"Maureen_Connelly"
"363";"Miss_America"
"364";"Rachmaninoff"
"365";"Coffey"
"366";"Diane_Mulcahy_Coffey"
"367";"Doron_Gopstein"
"368";"Gabel"
"369";"Hortense_W._Gabel"
"370";"Azucena_Ferre"
"371";"Carlos_Nunez_Tellez"
"372";"Mario_Rappaccioli"
"373";"Moises_Hassan"
"374";"Moises_Hassan_Morales"
"375";"Ramirez"
"376";"Ramirez_Mercado"
"377";"Theo_Waigel"
"378";"Liu"
"379";"Liu_Binyan"
"380";"Wang_Ruowang"
"381";"Helmut_Schmidt_'s"
"382";"Martin_Bangemann"
"383";"Schmidt"
"384";"Armstrong"
"385";"Marlene"
"386";"Michael_F._Armstrong"
"387";"Wheels"
"388";"Deng_Xiaoping_'s"
"389";"Dissent"
"390";"Goldman"
"391";"Mao_Zedong"
"392";"Merle_Goldman"
"393";"Noboru_Takeshita"
"394";"Conboy"
"395";"George_Arzt"
"396";"Kenneth_Conboy"
"397";"Bernard_Meyer"
"398";"Bishop_Emerson_Moore"
"399";"Evan_Davis"
"400";"Howard_Simons"
"401";"Joseph_A._Califano_Jr."
"402";"Michael_I._Sovern"
"403";"Patricia_M._Hynes"
"404";"Richard_D._Emery"
"405";"Bruno"
"406";"Joseph_Bruno"
"407";"Joseph_LEAD"
"408";"Joseph_Mentioning"
"409";"Ariel_Bravo_Lorio"
"410";"Bravo"
"411";"Daniel_Ortega"
"412";"Eli_Altamirano_Perez"
"413";"Eugene_Hasenfus"
"414";"Deng_-_Fang_Lizhi"
"415";"Hu_Other"
"416";"Hua_Guofeng"
"417";"Li"
"418";"Li_Peng"
"419";"Politboro"
"420";"Zhao"
"421";"Zhao_Ziyang"
"422";"Assemblywoman_Gerdi_L._Lipshutz"
"423";"Cohen"
"424";"David_L._Cohen"
"425";"Gavin_Scotti"
"426";"Jack_B._Weinstein"
"427";"Kevin_J._O'Brien"
"428";"Marilyn_J._Wagner"
"429";"Mary_E._Robles"
"430";"O'Brien"
"431";"Robles"
"432";"Rubin"
"433";"Wagner"
"434";"Weinstein"
"435";"Amorosa"
"436";"Bernard_G._Ehrlich"
"437";"Biaggi"
"438";"Dominic_F._Amorosa"
"439";"Ehrlich"
"440";"Kaplan"
"441";"Mario_Biaggi"
"442";"Morgenthau"
"443";"P._C._Kutschera"
"444";"Representative_Biaggi"
"445";"Richard_Biaggi"
"446";"Thomas_P._Puccio"
"447";"Harold_R._Tyler_Jr."
"448";"Tyler"
"449";"Donald_C._Platten"
"450";"G._G._Michelson"
"451";"Richard_R._Shinn"
"452";"Shinn"
"453";"Auxiliary_Bishop_Emerson_Moore"
"454";"Califano"
"455";"James_Magavern"
"456";"Joseph_Califano"
"457";"Patricia_Hynes"
"458";"Richard_Emery"
"459";"Bernard_S._Meyer"
"460";"Binghamton_Republican"
"461";"Bishop_Emerson_J._Moore"
"462";"Charles_Dumas"
"463";"James_L._Magavern"
"464";"Joseph_A._Califano"
"465";"Moreland_Act"
"466";"Assemblywoman"
"467";"Coopersmith"
"468";"Gerdi_Lipschutz"
"469";"Lipschutz"
"470";"Madelyne_Coopersmith"
"471";"Queens_Assemblywoman"
"472";"Scotti"
"473";"Richard_L._A"
"474";"Richard_L._LEAD"
"475";"Donald"
"476";"Marlene_Manes"
"477";"Adolfo_Blandon"
"478";"Duarte"
"479";"Hugo_Carrillo"
"480";"Jose_Napoleon_Duarte"
"481";"Havasi_Ferenz"
"482";"Hu_Sheng"
"483";"Jia_Lin"
"484";"Page_A9"
"485";"Febres_Cordero"
"486";"Frank_Vargas_Pazzos"
"487";"Leon_Febres_Cordero"
"488";"Lieut"
"489";"Nicolas_Febres_Cordero"
"490";"Patricio_Gonzalez"
"491";"Rene"
"492";"Rene_Vargas"
"493";"Vargas"
"494";"Arthur_A._Hartman"
"495";"Donna_Hartman"
"496";"Inna_Kitrosskaya"
"497";"Inna_Kitrosskaya_Meiman"
"498";"Meiman"
"499";"Naum_Meiman"
"500";"Bible"
"501";"Charles_Price"
"502";"Clark"
"503";"Don_Siegelman"
"504";"Gallion"
"505";"George_C._Wallace"
"506";"George_Corley_Wallace_Jr."
"507";"Guy_Hunt"
"508";"Hunt"
"509";"Jefferson_Davis"
"510";"Jim_Folsom_Jr."
"511";"Jimmy_Clark"
"512";"Thomas_T._Gallion_3d"
"513";"Wallace"
"514";"Xu_Leyi"
"515";"Ludhiana"
"516";"Pal_Pandey"
"517";"Pandey"
"518";"Punjab"
"519";"Rajiv_Gandhi"
"520";"Sikh"
"521";"Sohan_Lal"
"522";"Charles_J._Haughey"
"523";"Dick_Spring"
"524";"Fine_Gael"
"525";"FitzGerald"
"526";"Garret_FitzGerald"
"527";"Haughey"
"528";"Patrick_J._Hillery"
"529";"Fernando_Enrique_Rondon"
"530";"Freed_After"
"531";"Shultz"
"532";"Bergsdorff"
"533";"Bundestag"
"534";"Klaus_Hofmann"
"535";"Konrad_Adenauer"
"536";"Kurt_Waldheim"
"537";"Rosa_Luxemburg"
"538";"Sturmer"
"539";"Truman_Michael_Sturmer"
"540";"Wolfgang_Bergsdorff"
"541";"Harold_Katz"
"542";"Katz"
"543";"Bashur"
"544";"Bill_Clements"
"545";"Bob_Bullock"
"546";"bugaboo"
"547";"Bullock"
"548";"Clements"
"549";"Gib_Lewis"
"550";"Govenor_Clements"
"551";"Hobby"
"552";"John_Hill"
"553";"Mark_White"
"554";"Reggie_Bashur"
"555";"William_P._Hobby_Jr."
"556";"Barry_I._Slotnick"
"557";"Charles_P._Sifton"
"558";"Edward_A._McDonald"
"559";"Esposito"
"560";"McDonald"
"561";"Ronald_G._Russo"
"562";"Clark_Whelton"
"563";"Dick_Rutan"
"564";"Donald_Zucker"
"565";"Edward_I._Koch"
"566";"Harrison_J._Goldin"
"567";"Joseph_M._Sullivan"
"568";"Chun"
"569";"Chun_Doo_Hwan"
"570";"Chung_Ho_Yong"
"571";"Kang"
"572";"Kang_Min_Chang"
"573";"Kim_Chong_Hoh"
"574";"Lee_Yong_Chang"
"575";"Park"
"576";"Park_Chong_Chol"
"577";"Assemblywoman_Gerdi_Lipshutz"
"578";"Donald_Manes"
"579";"Lipshutz"
"580";"Richard_Rubin"
"581";"Bob_Esnard"
"582";"Joe_Califano"
"583";"Ken_Conboy"
"584";"Harry_Hughes"
"585";"Schaefer"
"586";"William_D._Schaefer"
"587";"Hank"
"588";"Hank_Williams"
"589";"Henry_G._Williams"
"590";"J._Langdon_Marsh"
"591";"Judith_Enck"
"592";"Williams"
"593";"Andres_Vallejo"
"594";"Ecuadoreans"
"595";"Guillermo_Moran_Morbioni"
"596";"Leon_Febres"
"597";"Marco_Lara"
"598";"Medardo_Salazar"
"599";"Moran"
"600";"Shift"
"601";"Vallejo"
"602";"Communism"
"603";"Dong_Tang"
"604";"Dong_Tang_Cycle_'"
"605";"Fidel_Castro"
"606";"Gorbachev"
"607";"Harry_Truman"
"608";"John_F._Kennedy"
"609";"Marx"
"610";"Pauline"
"611";"Richard_Nixon"
"612";"Ronald_Reagan_'s"
"613";"Paul_Vanden_Boeynants"
"614";"Fabres_Cordero"
"615";"Fabres_Cordero_'s"
"616";"Leon_Fabres"
"617";"Lu"
"618";"Lu_Jiaxi"
"619";"Teng"
"620";"Teng_Teng"
"621";"Yan"
"622";"Yan_Dongsheng"
"623";"Laren_Patterson"
"624";"David"
"625";"David_Wilson"
"626";"Edward_Youde"
"627";"Harris"
"628";"Lee"
"629";"Martin_Lee"
"630";"Peter_B._Harris"
"631";"Peter_Choi"
"632";"Prince_Charles"
"633";"Queen"
"634";"Terry_R._Coombs"
"635";"Xu_Jiatun"
"636";"Kenneth_L._Shapiro"
"637";"Shapiro"
"638";"Aleksa"
"639";"Djilas"
"640";"Milovan_Djilas"
"641";"Tito"
"642";"Meade_Esposito"
"643";"Ronald_Russo"
"644";"Russo"
"645";"Sifton"
"646";"Adelfa"
"647";"Alicia"
"648";"Fidel_V._Ramos"
"649";"Leandro_Alejandro"
"650";"Miguel_Aribe"
"651";"Ramos"
"652";"Alexander_D._Forger"
"653";"Charles_E._Heming"
"654";"Forger"
"655";"Michael_K._Deaver"
"656";"Seymour"
"657";"Whitney_North_Seymour_Jr."
"658";"Li_Sanyuan"
"659";"Li_Shaomin"
"660";"Yang"
"661";"Yang_Xiaokai_'s"
"662";"F._Sionil_Jose"
"663";"Barco"
"664";"Belisario_Betancur"
"665";"Betancur"
"666";"Carlos_Ossa_Escobar"
"667";"Manuel_Cepeda"
"668";"Ossa"
"669";"Virgilio_Barco_Vargas"
"670";"Dugan"
"671";"Eileen_C._Dugan"
"672";"Melvin_H._Miller"
"673";"Cesar_Nazareno"
"674";"Dan_Howard"
"675";"Emiliano_Templo"
"676";"Oscar_Canlas"
"677";"Deane_R._Hinton"
"678";"Herat"
"679";"Mohammad_Zia_ul_-_Haq"
"680";"Najib"
"681";"Qaribur_Rehman_Saeed"
"682";"Syed_Bahauddin_Majrooh"
"683";"Assemblywoman_Catherine_T._Nolan"
"684";"Assemblywoman_Helene_E._Weinstein"
"685";"Assemblywoman_Nolan"
"686";"Assemblywoman_Weinstein"
"687";"Gloria_Davis"
"688";"Gunning"
"689";"Joni_Yoswein"
"690";"Louise_M._Slaughter"
"691";"Margaret_L._W._Boepple"
"692";"Mary_B._Goodhue"
"693";"Nancy_Larraine_Hoffmann"
"694";"Rosemary_R._Gunning"
"695";"Velmanette_Montgomery"
"696";"W._Newburger"
"697";"Idi_Amin"
"698";"Maj"
"699";"Milton_Obote"
"700";"Museveni"
"701";"Obote"
"702";"Tito_Okello"
"703";"Wilson_Sentongo"
"704";"Yoweri_Museveni"
"705";"Assemblywoman_Gerdi_Lipschutz"
"706";"David_Cohen"
"707";"Abdurrahman_Wahid"
"708";"Adi_Sasono"
"709";"Bratanata"
"710";"Java"
"711";"Slamet_Bratanata"
"712";"Suharto"
"713";"Sukarno"
"714";"Sukarno_-"
"715";"Brezhnev"
"716";"Lenin"
"717";"Leonid_I._Brezhnev"
"718";"Mikhail_S._Gorbachev"
"719";"Secretariat"
"720";"Stalin"
"721";"Stalin_Period_Alluding"
"722";"Mikhail_S._Gorbachev_'s"
"723";"Alberto_Dahik"
"724";"Blasco_Penaherrera"
"725";"Febres_Cordero_'s"
"726";"Gazette"
"727";"Santiago_Jervis"
"728";"Andrew_J._Maloney"
"729";"Assemblywoman_Lipschutz"
"730";"Madelyn_Coopersmith"
"731";"Bob_Dole"
"732";"Charles_E._Redman"
"733";"George_P._Shultz"
"734";"Oliver_Tambo"
"735";"Redman"
"736";"Tambo"
"737";"Abbas_Ali_Hamadei"
"738";"Abbas_Hamadei"
"739";"Abdul_Rahman_Hamadei"
"740";"Hamadei"
"741";"Mohammed_Ali_Hamadei"
"742";"Mohammed_Hamadei"
"743";"Gary_Fryer"
"744";"John_Behuniak"
"745";"Moss"
"746";"Ronald_Moss"
"747";"Adolfo_Calero"
"748";"Anastasio_Somoza"
"749";"Arturo_Cruz"
"750";"Calero"
"751";"Cruz"
"752";"Elliott_Abrams"
"753";"Began_Protests"
"754";"Aleksandr_N._Yakovlev"
"755";"Alma_-_Ata"
"756";"Anatoly_I._Lukyanov"
"757";"Dinmukhamed_A._Kunayev"
"758";"Gennadi_V._Kolbin"
"759";"Kunayev"
"760";"Lev_N._Zaikov"
"761";"Lukyanov"
"762";"Mikhail_V._Zimyanin"
"763";"Nikolai_N._Slyunkov"
"764";"Slyunkov"
"765";"Vladimir_I._Dolgikh"
"766";"Yakovlev"
"767";"Yegor_K._Ligachev"
"768";"Barbara_Perry"
"769";"Bethann_Maple"
"770";"Brady"
"771";"Clementine_Chain"
"772";"Edward_Brady"
"773";"Feiner"
"774";"Irene_Arfer"
"775";"Paul_Feiner"
"776";"Allen"
"777";"Bertolt_Brecht"
"778";"Brecht"
"779";"Hannah"
"780";"Lourenco_Marques"
"781";"Mozambique"
"782";"Woody_Allen_'s"
"783";"Ferdinant_E._Marcos"
"784";"Gregorio_Honasan"
"785";"Aleksei_N._Kosygin"
"786";"Bovin"
"787";"impart"
"788";"Khrushchev"
"789";"Kosygin"
"790";"Nikita_S._Khrushchev"
"791";"Shcherbitsky"
"792";"Vladimir_V._Shcherbitsky"
"793";"Richard_M._Nixon"
"794";"Ronald_Rubinstein"
"795";"Deng_Versus_Deng"
"796";"GEORGE_K._OSBORN"
"797";"Rebecca_Karl"
"798";"Li_Xiannian"
"799";"Allen_S._Whiting"
"800";"DAVID_M._RADDOCK"
"801";"Op_-_Ed"
"802";"Acting_Mayor"
"803";"Bobby"
"804";"Carol_Bellamy"
"805";"Donna_E._Shalala"
"806";"Leventhal"
"807";"Nathan_Leventhal"
"808";"Peter_Cooper_Village"
"809";"Shalala"
"810";"William_J._Grinker"
"811";"Rau"
"812";"Alberto_Garcia_Maestre"
"813";"Angolans"
"814";"Arnold_Kalinin"
"815";"Barcelo"
"816";"Benguela_Railroad"
"817";"bush"
"818";"Cabinda"
"819";"Carlos_Estrada_Depestre"
"820";"D._Ortega"
"821";"dos_Santos"
"822";"Ernesto_Rodriguez_Hernandez"
"823";"Fidel_Castro_'s"
"824";"Garcia"
"825";"Hails_M._Gorbachev"
"826";"Jonas_Savimbi"
"827";"Jonas_Savimbi_'s"
"828";"Jose_Eduardo"
"829";"Julio_Garcia_Delgado"
"830";"Pedro_Valdez_Alfonso"
"831";"Propaganda"
"832";"Renato_Barcelo_Casanova"
"833";"Tira_Bikini_-"
"834";"Unita"
"835";"Andrew_Young"
"836";"Arthur_Cummings"
"837";"Gibson"
"838";"Heningburg"
"839";"Hugh_J.Addonizio"
"840";"James"
"841";"Ken"
"842";"Kenneth_A._Gibson"
"843";"Kenneth_Gibson"
"844";"Maynard_Jackson"
"845";"Mayors_Jackson"
"846";"Monteilh"
"847";"Newark"
"848";"Richard_Monteilh"
"849";"Schumann_Foundations"
"850";"Sharpe_James"
"851";"Zinnerford_Smith"
"852";"A"
"853";"Jaruzelski"
"854";"LEAD"
"855";"Aleksandr_Tvardovsky"
"856";"Anatoly_Koryagin"
"857";"Anatoly_Rybakov_'s"
"858";"Andrei_D._Sakharov"
"859";"GORBACHEV"
"860";"Michael_Jackson"
"861";"Mikhail_Baryshnikov"
"862";"MIKHAIL_S._GORBACHEV"
"863";"Natalia_Makarova"
"864";"Nikolai_I._Bukharin"
"865";"Nikolai_S._Gumilev"
"866";"Sakharov"
"867";"Sergei_D._Khodorovich"
"868";"Vladimir_Nabokov"
"869";"Yuri_P._Lyubimov"
"870";"PROPELLED"
"871";"Charles_L._Hardwick"
"872";"Gagliano"
"873";"John_F._Russo"
"874";"Laurence_S._Weiss"
"875";"Michael_R._Cole"
"876";"S._Thomas_Gagliano"
"877";"Weiss"
"878";"Anthony_J._Genovesi"
"879";"Assemblyman_G._Oliver_Koppell"
"880";"Crangle"
"881";"Dearie"
"882";"Edward_F._McDonough"
"883";"Eric_Lane"
"884";"Frank_Padavan"
"885";"Franz_S._Leichter"
"886";"Genovesi"
"887";"Goodman"
"888";"Joel_Mayer"
"889";"John_C._Dearie"
"890";"John_F._Haggerty"
"891";"John_J._Marchi"
"892";"Joseph_F._Crangle"
"893";"Joseph_L._Bruno"
"894";"Kenneth_R._Bruno"
"895";"Lane"
"896";"Lewinter"
"897";"Mayer"
"898";"McDonough"
"899";"Murray_Lewinter"
"900";"Roy_M._Goodman"
"901";"Stuart_B._Wershub"
"902";"Walter_J._Floss_Jr."
"903";"Wershub"
"904";"A._W._Oppenheimer"
"905";"Amy_B._Wheaton"
"906";"Anthony_V._Milano"
"907";"Audrey_M._Worrell"
"908";"Benjamin_A._Muzio"
"909";"Brian_R._Lensink"
"910";"Douglas_S._Lloyd_."
"911";"Elisha_G._Freedman"
"912";"Elliot_A._Ginzberg"
"913";"Frederick_G._Adams"
"914";"Howard_B._Brown_Jr."
"915";"J._William_Burns"
"916";"James_G._Harris_Jr."
"917";"John_G._Groppo"
"918";"John_J._Carson"
"919";"Joseph_E._Canale"
"920";"Kenneth_B._Anderson"
"921";"Lawrence_F._Delponte"
"922";"Lester_J._Forst"
"923";"Mark_J._Marcus"
"924";"Mary_Ellen_Klinck"
"925";"Mary_M._Heslin"
"926";"O'Neill"
"927";"Orlando_P._Ragazzi"
"928";"P._Joseph_Peraro"
"929";"Peter_W._Gillies"
"930";"Raymond_M._Lopes"
"931";"Stanley_J._Pac"
"932";"Stephen_B._Heintz"
"933";"Stephen_J._Negri"
"934";"William_A._O'Neill"
"935";"Jejomar_Binay"
"936";"Luzon"
"937";"Makati"
"938";"Namfrel"
"939";"Joseph_-_Desire_Mobutu"
"940";"Lubumbashi"
"941";"Mobutu"
"942";"Monte_Carlo"
"943";"Nguza"
"944";"Nguza_Karl"
"945";"Seko_Koko_Ngbendu"
"946";"Sese_Seko"
"947";"za_Banga"
"948";"Zaire"
"949";"Zairian"
"950";"Bertram_R._Gelfand"
"951";"Francisco_Lugovina"
"952";"Galiber"
"953";"Jose_E._Serrano"
"954";"Joseph_L._Galiber"
"955";"Ramon_Velez"
"956";"Raymond_J._Donovan"
"957";"Representatives_Mario_Biaggi"
"958";"Robert_Garcia"
"959";"Serrano"
"960";"Simon"
"961";"Stanley_Friedman"
"962";"Dong"
"963";"John_McAuliff"
"964";"Mary_Byrne_McDonnell"
"965";"McDonnell"
"966";"Kim_Dae_Jung"
"967";"Kim_Young_Sam"
"968";"Ku_Chang_Rim"
"969";"Churbanov"
"970";"Galina"
"971";"Galina_Brezhnev"
"972";"Galina_Churbanov"
"973";"Gennadi_I._Gerasimov"
"974";"Gerasimov"
"975";"Konstantin_U._Chernenko"
"976";"Nikolai_A._Shchelokov"
"977";"Shchelokov"
"978";"Yuri_M._Churbanov"
"979";"Yuri_V._Andropov"
"980";"Ayatollah_Hussein_Ali_Montazeri"
"981";"Ayatollah_Khomeini"
"982";"Ayatollah_Montazeri"
